X [ m ],Y [ m ]
-5.82E-02,7.73E-06
-5.82E-02,-3.68E-03
-5.81E-02,-6.28E-03
-5.77E-02,-8.87E-03
-5.72E-02,-1.14E-02
-5.64E-02,-1.39E-02
-5.54E-02,-1.66E-02
-5.44E-02,-1.93E-02
-5.34E-02,-2.20E-02
-5.25E-02,-2.47E-02
-5.15E-02,-2.74E-02
-5.05E-02,-3.01E-02
-4.95E-02,-3.28E-02
-4.85E-02,-3.55E-02
-4.75E-02,-3.82E-02
-4.66E-02,-4.09E-02
-4.56E-02,-4.36E-02
-4.45E-02,-4.63E-02
-4.32E-02,-4.90E-02
-4.18E-02,-5.16E-02
-4.02E-02,-5.41E-02
-3.85E-02,-5.65E-02
-3.66E-02,-5.88E-02
-3.46E-02,-6.10E-02
-3.25E-02,-6.31E-02
-3.02E-02,-6.50E-02
-2.78E-02,-6.67E-02
-2.53E-02,-6.84E-02
-2.28E-02,-6.98E-02
-2.01E-02,-7.11E-02
-1.74E-02,-7.23E-02
-1.46E-02,-7.33E-02
-1.17E-02,-7.41E-02
-8.84E-03,-7.47E-02
-5.91E-03,-7.52E-02
-2.96E-03,-7.54E-02
-1.86E-18,-7.55E-02
,
,
[Name],
Chart Line 2,
,
[Data],
X [ m ],Y [ m ]
-5.82E-02,7.73E-06
-5.82E-02,-3.68E-03
-5.81E-02,-6.28E-03
-5.77E-02,-8.87E-03
-5.72E-02,-1.14E-02
-5.64E-02,-1.39E-02
-5.54E-02,-1.66E-02
-5.44E-02,-1.93E-02
-5.34E-02,-2.20E-02
-5.25E-02,-2.47E-02
-5.15E-02,-2.74E-02
-5.05E-02,-3.01E-02
-4.95E-02,-3.28E-02
-4.85E-02,-3.55E-02
-4.75E-02,-3.82E-02
-4.66E-02,-4.09E-02
-4.56E-02,-4.36E-02
-4.45E-02,-4.63E-02
-4.32E-02,-4.90E-02
-4.18E-02,-5.16E-02
-4.02E-02,-5.41E-02
-3.85E-02,-5.65E-02
-3.66E-02,-5.88E-02
-3.46E-02,-6.10E-02
-3.25E-02,-6.31E-02
-3.02E-02,-6.50E-02
-2.78E-02,-6.67E-02
-2.53E-02,-6.84E-02
-2.28E-02,-6.98E-02
-2.01E-02,-7.11E-02
-1.74E-02,-7.23E-02
-1.46E-02,-7.33E-02
-1.17E-02,-7.41E-02
-8.84E-03,-7.47E-02
-5.91E-03,-7.52E-02
-2.96E-03,-7.54E-02
-1.86E-18,-7.55E-02
,
,
[Name],
Chart Line 3,
,
[Data],
X [ m ],Y [ m ]
-5.82E-02,7.73E-06
-5.82E-02,-3.68E-03
-5.81E-02,-6.28E-03
-5.77E-02,-8.87E-03
-5.72E-02,-1.14E-02
-5.64E-02,-1.39E-02
-5.54E-02,-1.66E-02
-5.44E-02,-1.93E-02
-5.34E-02,-2.20E-02
-5.25E-02,-2.47E-02
-5.15E-02,-2.74E-02
-5.05E-02,-3.01E-02
-4.95E-02,-3.28E-02
-4.85E-02,-3.55E-02
-4.75E-02,-3.82E-02
-4.66E-02,-4.09E-02
-4.56E-02,-4.36E-02
-4.45E-02,-4.63E-02
-4.32E-02,-4.90E-02
-4.18E-02,-5.16E-02
-4.02E-02,-5.41E-02
-3.85E-02,-5.65E-02
-3.66E-02,-5.88E-02
-3.46E-02,-6.10E-02
-3.25E-02,-6.31E-02
-3.02E-02,-6.50E-02
-2.78E-02,-6.67E-02
-2.53E-02,-6.84E-02
-2.28E-02,-6.98E-02
-2.01E-02,-7.11E-02
-1.74E-02,-7.23E-02
-1.46E-02,-7.33E-02
-1.17E-02,-7.41E-02
-8.84E-03,-7.47E-02
-5.91E-03,-7.52E-02
-2.96E-03,-7.54E-02
-1.86E-18,-7.55E-02
,
,
[Name],
Chart Line 4,
,
[Data],
X [ m ],Y [ m ]
-5.82E-02,7.73E-06
-5.82E-02,-3.68E-03
-5.81E-02,-6.28E-03
-5.77E-02,-8.87E-03
-5.72E-02,-1.14E-02
-5.64E-02,-1.39E-02
-5.54E-02,-1.66E-02
-5.44E-02,-1.93E-02
-5.34E-02,-2.20E-02
-5.25E-02,-2.47E-02
-5.15E-02,-2.74E-02
-5.05E-02,-3.01E-02
-4.95E-02,-3.28E-02
-4.85E-02,-3.55E-02
-4.75E-02,-3.82E-02
-4.66E-02,-4.09E-02
-4.56E-02,-4.36E-02
-4.45E-02,-4.63E-02
-4.32E-02,-4.90E-02
-4.18E-02,-5.16E-02
-4.02E-02,-5.41E-02
-3.85E-02,-5.65E-02
-3.66E-02,-5.88E-02
-3.46E-02,-6.10E-02
-3.25E-02,-6.31E-02
-3.02E-02,-6.50E-02
-2.78E-02,-6.67E-02
-2.53E-02,-6.84E-02
-2.28E-02,-6.98E-02
-2.01E-02,-7.11E-02
-1.74E-02,-7.23E-02
-1.46E-02,-7.33E-02
-1.17E-02,-7.41E-02
-8.84E-03,-7.47E-02
-5.91E-03,-7.52E-02
-2.96E-03,-7.54E-02
-1.86E-18,-7.55E-02
,
,
[Name],
Chart Line 5,
,
[Data],
X [ m ],Y [ m ]
-5.82E-02,7.73E-06
-5.82E-02,-3.68E-03
-5.81E-02,-6.28E-03
-5.77E-02,-8.87E-03
-5.72E-02,-1.14E-02
-5.64E-02,-1.39E-02
-5.54E-02,-1.66E-02
-5.44E-02,-1.93E-02
-5.34E-02,-2.20E-02
-5.25E-02,-2.47E-02
-5.15E-02,-2.74E-02
-5.05E-02,-3.01E-02
-4.95E-02,-3.28E-02
-4.85E-02,-3.55E-02
-4.75E-02,-3.82E-02
-4.66E-02,-4.09E-02
-4.56E-02,-4.36E-02
-4.45E-02,-4.63E-02
-4.32E-02,-4.90E-02
-4.18E-02,-5.16E-02
-4.02E-02,-5.41E-02
-3.85E-02,-5.65E-02
-3.66E-02,-5.88E-02
-3.46E-02,-6.10E-02
-3.25E-02,-6.31E-02
-3.02E-02,-6.50E-02
-2.78E-02,-6.67E-02
-2.53E-02,-6.84E-02
-2.28E-02,-6.98E-02
-2.01E-02,-7.11E-02
-1.74E-02,-7.23E-02
-1.46E-02,-7.33E-02
-1.17E-02,-7.41E-02
-8.84E-03,-7.47E-02
-5.91E-03,-7.52E-02
-2.96E-03,-7.54E-02
-1.86E-18,-7.55E-02
