Curve Length on Polyline 1 [ m ],TEMPERATURE [ C ]
0.00E+00,1.00E+02
3.69E-03,1.00E+02
6.29E-03,1.00E+02
8.90E-03,1.00E+02
1.15E-02,1.00E+02
1.41E-02,1.00E+02
1.70E-02,1.00E+02
1.99E-02,1.00E+02
2.27E-02,1.00E+02
2.56E-02,1.00E+02
2.85E-02,1.00E+02
3.14E-02,1.00E+02
3.42E-02,1.00E+02
3.71E-02,1.00E+02
4.00E-02,1.00E+02
4.29E-02,1.00E+02
4.57E-02,1.00E+02
4.87E-02,1.00E+02
5.16E-02,1.00E+02
5.46E-02,1.00E+02
5.76E-02,1.00E+02
6.05E-02,1.00E+02
6.35E-02,1.00E+02
6.65E-02,1.00E+02
6.94E-02,1.00E+02
7.24E-02,1.00E+02
7.53E-02,1.00E+02
7.83E-02,1.00E+02
8.13E-02,1.00E+02
8.42E-02,1.00E+02
8.72E-02,1.00E+02
9.02E-02,1.00E+02
9.31E-02,1.00E+02
9.61E-02,1.00E+02
9.90E-02,1.00E+02
1.02E-01,1.00E+02
1.05E-01,1.00E+02
,
,
[Name],
Chart Line 2,
,
[Data],
Curve Length on Polyline 1 [ m ],TEMPERATURE [ C ]
0.00E+00,1.15E+02
3.69E-03,1.15E+02
6.29E-03,1.15E+02
8.90E-03,1.15E+02
1.15E-02,1.15E+02
1.41E-02,1.15E+02
1.70E-02,1.14E+02
1.99E-02,1.14E+02
2.27E-02,1.14E+02
2.56E-02,1.13E+02
2.85E-02,1.12E+02
3.14E-02,1.11E+02
3.42E-02,1.11E+02
3.71E-02,1.10E+02
4.00E-02,1.08E+02
4.29E-02,1.08E+02
4.57E-02,1.08E+02
4.87E-02,1.06E+02
5.16E-02,1.03E+02
5.46E-02,1.03E+02
5.76E-02,9.89E+01
6.05E-02,9.49E+01
6.35E-02,9.42E+01
6.65E-02,9.42E+01
6.94E-02,9.42E+01
7.24E-02,8.79E+01
7.53E-02,8.00E+01
7.83E-02,8.00E+01
8.13E-02,8.00E+01
8.42E-02,8.00E+01
8.72E-02,8.00E+01
9.02E-02,8.00E+01
9.31E-02,8.00E+01
9.61E-02,8.00E+01
9.90E-02,8.00E+01
1.02E-01,8.00E+01
1.05E-01,8.00E+01
,
,
[Name],
Chart Line 3,
,
[Data],
Curve Length on Polyline 1 [ m ],TEMPERATURE [ C ]
0.00E+00,1.20E+02
3.69E-03,1.20E+02
6.29E-03,1.20E+02
8.90E-03,1.20E+02
1.15E-02,1.20E+02
1.41E-02,1.20E+02
1.70E-02,1.18E+02
1.99E-02,1.17E+02
2.27E-02,1.16E+02
2.56E-02,1.14E+02
