[Name]
Chart Line 1

[Data]
X [ m ],Y [ m ]
-5.81840798e-02, 7.72686599e-06
-5.82412966e-02, -3.82485241e-03
-6.07946068e-02, -8.29819497e-03
-6.25620782e-02, -1.30024087e-02
-6.27640709e-02, -1.80019680e-02
-6.27958700e-02, -2.29105540e-02
-6.29962534e-02, -2.82252599e-02
-6.30184934e-02, -3.35188583e-02
-6.27614334e-02, -3.87936682e-02
-6.27938434e-02, -4.43057865e-02
-6.28123879e-02, -4.99776974e-02
-6.27727956e-02, -5.57298809e-02
-6.28338307e-02, -6.16997555e-02
-6.28920048e-02, -6.78588152e-02
-6.27672300e-02, -7.41243809e-02
-6.28118739e-02, -8.07177424e-02
-6.29572794e-02, -8.75561684e-02
-6.28728420e-02, -9.47843716e-02
-6.29415214e-02, -1.02448605e-01
-6.28494918e-02, -1.10411644e-01
-6.28913641e-02, -1.18857414e-01
-6.28637522e-02, -1.27804652e-01
-6.27584979e-02, -1.32425666e-01
-6.27567396e-02, -1.37257546e-01
-6.27983063e-02, -1.42272785e-01
-6.28384426e-02, -1.47490084e-01
-6.28608614e-02, -1.52872339e-01
-6.28604442e-02, -1.58482879e-01
-6.28050789e-02, -1.64280176e-01
-6.28486127e-02, -1.70424551e-01
-6.27912953e-02, -1.76816255e-01
-6.27930909e-02, -1.83614179e-01
-6.27778172e-02, -1.90805137e-01
-6.27653077e-02, -1.98531926e-01
-6.27836362e-02, -2.06980765e-01
-6.29048496e-02, -2.11610839e-01
-6.29042685e-02, -2.16557890e-01
-6.28547370e-02, -2.22474173e-01
-6.23844676e-02, -2.28734866e-01
-5.87848239e-02, -2.33933777e-01
-5.34333959e-02, -2.35914484e-01
-4.83788848e-02, -2.35486045e-01
-4.36776876e-02, -2.32987419e-01
-3.98635343e-02, -2.31257975e-01
-3.63477170e-02, -2.29822204e-01
-3.31649929e-02, -2.28709444e-01
-3.03244460e-02, -2.27704942e-01
-2.75533646e-02, -2.26960376e-01
-2.49727182e-02, -2.26204410e-01
-2.27583423e-02, -2.25680605e-01
-2.04192642e-02, -2.25210577e-01
-1.81753095e-02, -2.24741057e-01
-1.59837697e-02, -2.24334970e-01
-1.40331881e-02, -2.24047437e-01
-1.20976288e-02, -2.23811939e-01
-1.07510267e-02, -2.23634869e-01
-9.45052784e-03, -2.23543108e-01
-7.73161231e-03, -2.23364770e-01
-6.12455653e-03, -2.23269671e-01
-3.03777610e-03, -2.23119184e-01
-1.85963168e-18, -2.23194838e-01


[Name]
Chart Line 2

[Data]
X [ m ],Y [ m ]
-5.81840798e-02, 7.72686599e-06
-5.82328103e-02, -3.76125704e-03
-6.20268062e-02, -1.05182799e-02
-6.27692416e-02, -1.79601014e-02
-6.28641844e-02, -2.53895354e-02
-6.28556684e-02, -3.28269675e-02
-6.28844872e-02, -4.11529616e-02
-6.29724711e-02, -4.96989042e-02
-6.28706217e-02, -5.84203936e-02
-6.29613027e-02, -6.73219562e-02
-6.29120246e-02, -7.60442540e-02
-6.29914254e-02, -8.49276930e-02
-6.28306717e-02, -9.41055641e-02
-6.29021898e-02, -1.03538990e-01
-6.28455132e-02, -1.12804383e-01
-6.28446937e-02, -1.22418731e-01
-6.27902299e-02, -1.32653028e-01
-6.29803240e-02, -1.43605635e-01
-6.27954826e-02, -1.53907716e-01
-6.27867877e-02, -1.64843112e-01
-6.28354698e-02, -1.76393643e-01
-6.27534762e-02, -1.86391711e-01
-6.27976954e-02, -1.91296488e-01
-6.28042147e-02, -1.96353480e-01
-6.28158823e-02, -2.01720178e-01
-6.27499595e-02, -2.07549661e-01
-6.28102496e-02, -2.14187965e-01
-6.27924278e-02, -2.22382516e-01
-6.14459142e-02, -2.30876625e-01
-5.67818470e-02, -2.35026643e-01
-5.22127263e-02, -2.35946521e-01
-5.02013415e-02, -2.35951781e-01
-4.83521521e-02, -2.35357314e-01
-4.67552841e-02, -2.34509006e-01
-4.51514125e-02, -2.33703122e-01
-4.35802639e-02, -2.32922032e-01
-4.20378707e-02, -2.32211992e-01
-4.05117683e-02, -2.31535986e-01
-3.90221551e-02, -2.30884522e-01
-3.75442840e-02, -2.30307549e-01
-3.60995270e-02, -2.29733124e-01
-3.46579216e-02, -2.29191884e-01
-3.32465805e-02, -2.28691339e-01
-3.18440944e-02, -2.28227675e-01
-3.04683838e-02, -2.27765873e-01
-2.90867612e-02, -2.27350354e-01
-2.77343523e-02, -2.26945862e-01
-2.63666306e-02, -2.26582348e-01
-2.50292756e-02, -2.26230383e-01
-2.36775782e-02, -2.25890175e-01
-2.23570168e-02, -2.25587890e-01
-2.10062228e-02, -2.25293219e-01
-1.96793284e-02, -2.25031883e-01
-1.83339994e-02, -2.24760860e-01
-1.69938672e-02, -2.24568114e-01
-1.42681058e-02, -2.24103317e-01
-1.29630761e-02, -2.23944962e-01
-1.16573395e-02, -2.23813340e-01
-1.05211642e-02, -2.23673627e-01
-9.40498430e-03, -2.23651364e-01
-8.54985882e-03, -2.23473251e-01
-7.72288023e-03, -2.23399535e-01
-6.14071079e-03, -2.23273247e-01
-3.06355907e-03, -2.23212898e-01
-1.85963168e-18, -2.23166183e-01


[Name]
Chart Line 3

[Data]
X [ m ],Y [ m ]
-5.81840798e-02, 7.72686599e-06
-5.82328476e-02, -3.76732857e-03
-6.06024042e-02, -7.95402564e-03
-6.24430366e-02, -1.21898707e-02
-6.27777204e-02, -1.69163346e-02
-6.28794357e-02, -2.15098429e-02
-6.30195960e-02, -3.06958631e-02
-6.29752129e-02, -4.01032120e-02
-6.29054978e-02, -5.06013408e-02
-6.29526526e-02, -6.08754717e-02
-6.28508851e-02, -7.11158663e-02
-6.29373714e-02, -8.13340321e-02
-6.29787743e-02, -9.09708813e-02
-6.28431216e-02, -1.00510269e-01
-6.29192665e-02, -1.10812970e-01
-6.28113747e-02, -1.21009238e-01
-6.28305003e-02, -1.30588412e-01
-6.28868639e-02, -1.40297607e-01
-6.30018115e-02, -1.51320681e-01
-6.28857985e-02, -1.62525430e-01
-6.28341138e-02, -1.72380298e-01
-6.28760830e-02, -1.82432935e-01
-6.28219694e-02, -1.92202792e-01
-6.27522543e-02, -1.99359685e-01
-6.27626553e-02, -2.02646047e-01
-6.27872422e-02, -2.05866084e-01
-6.27651513e-02, -2.09117144e-01
-6.27849698e-02, -2.12492913e-01
-6.27463311e-02, -2.15967983e-01
-6.27781674e-02, -2.19651029e-01
-6.27587885e-02, -2.23577201e-01
-6.25050515e-02, -2.27797478e-01
-6.09256402e-02, -2.31691971e-01
-5.94600290e-02, -2.33257756e-01
-5.77228703e-02, -2.34519318e-01
-5.57438806e-02, -2.35465020e-01
-5.35440370e-02, -2.35944599e-01
-5.12526147e-02, -2.36003235e-01
-4.89190556e-02, -2.35636860e-01
-4.67013866e-02, -2.34459877e-01
-4.45407070e-02, -2.33392686e-01
-4.24707755e-02, -2.32408375e-01
-4.05018255e-02, -2.31530845e-01
-3.85894440e-02, -2.30705172e-01
-3.67468372e-02, -2.29984775e-01
-3.49604487e-02, -2.29294226e-01
-3.32432985e-02, -2.28677049e-01
-3.15433741e-02, -2.28121608e-01
-2.98982151e-02, -2.27586865e-01
-2.82594245e-02, -2.27100402e-01
-2.66729034e-02, -2.26654589e-01
-2.50858404e-02, -2.26232931e-01
-2.35514622e-02, -2.25854814e-01
-2.19946671e-02, -2.25485787e-01
-2.04559863e-02, -2.25172713e-01
-1.89560354e-02, -2.24864960e-01
-1.74478516e-02, -2.24624693e-01
-1.59426592e-02, -2.24366739e-01
-1.44607918e-02, -2.24123925e-01
-1.30894817e-02, -2.23945558e-01
-1.17141269e-02, -2.23826572e-01
-1.05344458e-02, -2.23667249e-01
-9.39845014e-03, -2.23645478e-01
-8.54037423e-03, -2.23474473e-01
-7.71506689e-03, -2.23390192e-01
-6.13457803e-03, -2.23284513e-01
-3.06401192e-03, -2.23160058e-01
-1.85963168e-18, -2.23226637e-01


[Name]
Chart Line 4

[Data]
X [ m ],Y [ m ]
-5.81840798e-02, 7.72686599e-06
-5.82314394e-02, -3.74620920e-03
-6.23882301e-02, -1.18817287e-02
-6.27830476e-02, -1.65085848e-02
-6.28351867e-02, -2.10040919e-02
-6.28621951e-02, -3.00114155e-02
-6.29085824e-02, -3.91892567e-02
-6.30232915e-02, -4.98790815e-02
-6.30388632e-02, -6.12297133e-02
-6.29906952e-02, -7.33088478e-02
-6.28394932e-02, -8.50578770e-02
-6.28477708e-02, -9.57118496e-02
-6.29660487e-02, -1.06274724e-01
-6.28390685e-02, -1.17535844e-01
-6.30311221e-02, -1.28616869e-01
-6.29244819e-02, -1.38104632e-01
-6.28163368e-02, -1.47342861e-01
-6.28667697e-02, -1.57751828e-01
-6.28949255e-02, -1.68247104e-01
-6.27899319e-02, -1.77061528e-01
-6.27902299e-02, -1.85732573e-01
-6.28044680e-02, -1.94399968e-01
-6.27628863e-02, -2.01410607e-01
-6.27841428e-02, -2.04758540e-01
-6.27938733e-02, -2.08080038e-01
-6.27843067e-02, -2.11476564e-01
-6.27910793e-02, -2.15034217e-01
-6.27516657e-02, -2.18756303e-01
-6.27717972e-02, -2.22782105e-01
-6.26175702e-02, -2.27065727e-01
-6.12815991e-02, -2.31029227e-01
-5.85911982e-02, -2.34069601e-01
-5.67479916e-02, -2.35016569e-01
-5.47956713e-02, -2.35672176e-01
-5.27284332e-02, -2.35984817e-01
-5.05774058e-02, -2.35936418e-01
-4.84398454e-02, -2.35382318e-01
-4.63742428e-02, -2.34306186e-01
-4.43712957e-02, -2.33304337e-01
-4.24518399e-02, -2.32402459e-01
-4.05976176e-02, -2.31552184e-01
-3.88227925e-02, -2.30803505e-01
-3.70847397e-02, -2.30112731e-01
-3.54094915e-02, -2.29457214e-01
-3.37707251e-02, -2.28877515e-01
-3.21770459e-02, -2.28315666e-01
-3.06034628e-02, -2.27816820e-01
-2.90766377e-02, -2.27334678e-01
-2.75474396e-02, -2.26896212e-01
-2.60593109e-02, -2.26481453e-01
-2.45751534e-02, -2.26090923e-01
-2.31328998e-02, -2.25759611e-01
-2.16684360e-02, -2.25407422e-01
-2.02350970e-02, -2.25108996e-01
-1.87838320e-02, -2.24834785e-01
-1.73506476e-02, -2.24583670e-01
-1.58958640e-02, -2.24353150e-01
-1.44515838e-02, -2.24129051e-01
-1.30881378e-02, -2.23956019e-01
-1.17256762e-02, -2.23839968e-01
-1.05471890e-02, -2.23685294e-01
-9.41641163e-03, -2.23657906e-01
-8.55546165e-03, -2.23475412e-01
-7.72567280e-03, -2.23393142e-01
-6.14115363e-03, -2.23285571e-01
-3.06722871e-03, -2.23153621e-01
-1.85963168e-18, -2.23218948e-01


[Name]
Chart Line 5

[Data]
X [ m ],Y [ m ]
-5.81840798e-02, 7.72686599e-06
-5.82313910e-02, -3.74672702e-03
-6.24120608e-02, -1.19647868e-02
-6.27794489e-02, -1.66388880e-02
-6.29692078e-02, -2.11633164e-02
-6.29962012e-02, -3.02720461e-02
-6.29522279e-02, -3.95712182e-02
-6.29802942e-02, -5.03165089e-02
-6.29315972e-02, -6.17546029e-02
-6.29623532e-02, -7.40545988e-02
-6.29659072e-02, -8.60254169e-02
-6.29251078e-02, -9.66849625e-02
-6.28929287e-02, -1.07132219e-01
-6.29477203e-02, -1.18505843e-01
-6.29445687e-02, -1.29384249e-01
-6.28299341e-02, -1.38736725e-01
-6.27994016e-02, -1.47809729e-01
-6.28315955e-02, -1.57849997e-01
-6.30548894e-02, -1.68172345e-01
-6.28764853e-02, -1.76751211e-01
-6.28146529e-02, -1.85193449e-01
-6.28219321e-02, -1.93695024e-01
-6.27918988e-02, -2.00688884e-01
-6.27852082e-02, -2.04028770e-01
-6.27801195e-02, -2.07350373e-01
-6.27878606e-02, -2.10759014e-01
-6.27429485e-02, -2.14298904e-01
-6.27716035e-02, -2.18048543e-01
-6.27589673e-02, -2.22054720e-01
-6.27931580e-02, -2.26408988e-01
-6.15878254e-02, -2.30464220e-01
-5.90186305e-02, -2.33672097e-01
-5.72702587e-02, -2.34760195e-01
-5.53594530e-02, -2.35556886e-01
-5.32893352e-02, -2.35985786e-01
-5.11357225e-02, -2.35987887e-01
-4.89260145e-02, -2.35653281e-01
-4.68571782e-02, -2.34554723e-01
-4.48134802e-02, -2.33525798e-01
-4.28563915e-02, -2.32587457e-01
-4.09682132e-02, -2.31736809e-01
-3.91611233e-02, -2.30952457e-01
-3.73929031e-02, -2.30222762e-01
-3.56928855e-02, -2.29555458e-01
-3.40276100e-02, -2.28958547e-01
-3.24136317e-02, -2.28400484e-01
-3.08180153e-02, -2.27882713e-01
-2.92703975e-02, -2.27398559e-01
-2.77192611e-02, -2.26937845e-01
-2.62159985e-02, -2.26533934e-01
-2.47138552e-02, -2.26128310e-01
-2.32545193e-02, -2.25783274e-01
-2.17727609e-02, -2.25453854e-01
-2.03243829e-02, -2.25156844e-01
-1.88597795e-02, -2.24848956e-01
-1.74095538e-02, -2.24616840e-01
-1.59443617e-02, -2.24372402e-01
-1.44843226e-02, -2.24129170e-01
-1.31095573e-02, -2.23976031e-01
-1.17366025e-02, -2.23818883e-01
-1.05535239e-02, -2.23667100e-01
-9.41743236e-03, -2.23656446e-01
-8.55579413e-03, -2.23475873e-01
-7.72555731e-03, -2.23398492e-01
-6.14112988e-03, -2.23289192e-01
-3.06725875e-03, -2.23153263e-01
-1.85963168e-18, -2.23218530e-01


