[Name],
Chart Line 1,
,
[Data],
Curve Length on Polyline 1 [ m ],TEMPERATURE [ C ]
0.00E+00,1.00E+02
3.83E-03,1.00E+02
8.98E-03,1.00E+02
1.40E-02,1.00E+02
1.90E-02,1.00E+02
2.39E-02,1.00E+02
2.92E-02,1.00E+02
3.45E-02,1.00E+02
3.98E-02,1.00E+02
4.53E-02,1.00E+02
5.10E-02,1.00E+02
5.68E-02,1.00E+02
6.27E-02,1.00E+02
6.89E-02,1.00E+02
7.51E-02,1.00E+02
8.17E-02,1.00E+02
8.86E-02,1.00E+02
9.58E-02,1.00E+02
1.03E-01,1.00E+02
1.11E-01,1.00E+02
1.20E-01,1.00E+02
1.29E-01,1.00E+02
1.33E-01,1.00E+02
1.38E-01,1.00E+02
1.43E-01,1.00E+02
1.49E-01,1.00E+02
1.54E-01,1.00E+02
1.60E-01,1.00E+02
1.65E-01,1.00E+02
1.71E-01,1.00E+02
1.78E-01,1.00E+02
1.85E-01,1.00E+02
1.92E-01,1.00E+02
2.00E-01,1.00E+02
2.08E-01,1.00E+02
2.13E-01,1.00E+02
2.18E-01,1.00E+02
2.24E-01,1.00E+02
2.30E-01,1.00E+02
2.36E-01,1.00E+02
2.42E-01,1.00E+02
2.47E-01,1.00E+02
2.52E-01,1.00E+02
2.56E-01,1.00E+02
2.60E-01,1.00E+02
2.64E-01,1.00E+02
2.67E-01,1.00E+02
2.69E-01,1.00E+02
2.72E-01,1.00E+02
2.74E-01,1.00E+02
2.77E-01,1.00E+02
2.79E-01,1.00E+02
2.81E-01,1.00E+02
2.83E-01,1.00E+02
2.85E-01,1.00E+02
2.87E-01,1.00E+02
2.88E-01,1.00E+02
2.90E-01,1.00E+02
2.91E-01,1.00E+02
2.94E-01,1.00E+02
2.97E-01,1.00E+02
,
,
[Name],
Chart Line 2,
,
[Data],
Curve Length on Polyline 1 [ m ],TEMPERATURE [ C ]
0.00E+00,1.15E+02
3.77E-03,1.15E+02
1.15E-02,1.15E+02
1.90E-02,1.15E+02
2.64E-02,1.15E+02
3.39E-02,1.15E+02
4.22E-02,1.14E+02
5.07E-02,1.14E+02
5.95E-02,1.14E+02
6.84E-02,1.13E+02
7.71E-02,1.12E+02
8.60E-02,1.11E+02
9.51E-02,1.11E+02
1.05E-01,1.10E+02
1.14E-01,1.08E+02
1.23E-01,1.08E+02
1.34E-01,1.08E+02
1.45E-01,1.06E+02
1.55E-01,1.03E+02
1.66E-01,1.03E+02
1.77E-01,9.90E+01
1.87E-01,9.48E+01
1.92E-01,9.45E+01
1.97E-01,9.42E+01
2.03E-01,9.42E+01
2.09E-01,9.42E+01
2.15E-01,9.42E+01
2.23E-01,9.41E+01
2.32E-01,9.12E+01
2.38E-01,8.79E+01
2.43E-01,8.40E+01
2.45E-01,8.21E+01
2.47E-01,8.02E+01
2.49E-01,8.01E+01
2.50E-01,8.00E+01
2.52E-01,8.00E+01
2.54E-01,8.00E+01
2.56E-01,8.00E+01
2.57E-01,8.00E+01
2.59E-01,8.00E+01
2.60E-01,8.00E+01
2.62E-01,8.00E+01
2.63E-01,8.00E+01
2.65E-01,8.00E+01
2.66E-01,8.00E+01
2.68E-01,8.00E+01
2.69E-01,8.00E+01
2.71E-01,8.00E+01
2.72E-01,8.00E+01
2.73E-01,8.00E+01
2.75E-01,8.00E+01
2.76E-01,8.00E+01
2.77E-01,8.00E+01
2.79E-01,8.00E+01
2.80E-01,8.00E+01
2.83E-01,8.00E+01
2.84E-01,8.00E+01
2.86E-01,8.00E+01
2.87E-01,8.00E+01
2.88E-01,8.00E+01
2.89E-01,8.00E+01
2.90E-01,8.00E+01
2.91E-01,8.00E+01
2.94E-01,8.00E+01
2.97E-01,8.00E+01
,
,
[Name],
Chart Line 3,
,
[Data],
Curve Length on Polyline 1 [ m ],TEMPERATURE [ C ]
0.00E+00,1.20E+02
3.78E-03,1.20E+02
8.59E-03,1.20E+02
1.32E-02,1.20E+02
1.79E-02,1.20E+02
2.25E-02,1.20E+02
3.17E-02,1.20E+02
4.11E-02,1.20E+02
5.16E-02,1.18E+02
6.19E-02,1.17E+02
7.21E-02,1.16E+02
8.24E-02,1.14E+02
9.20E-02,1.12E+02
1.02E-01,1.12E+02
1.12E-01,1.12E+02
1.22E-01,1.09E+02
1.32E-01,1.06E+02
1.41E-01,1.05E+02
1.52E-01,1.05E+02
1.64E-01,1.00E+02
1.73E-01,9.59E+01
1.83E-01,9.51E+01
1.93E-01,8.84E+01
2.00E-01,8.11E+01
2.04E-01,8.05E+01
2.07E-01,8.00E+01
2.10E-01,8.00E+01
2.14E-01,8.00E+01
2.17E-01,8.00E+01
2.21E-01,8.00E+01
2.25E-01,8.03E+01
2.29E-01,8.07E+01
2.33E-01,8.11E+01
