[Name]
Chart Line 1

[Data]
Curve Length on Polyline 1 [ m ],THICKNESS [ mm ]
0.00000000e+00, 2.77604795e+00
3.83300637e-03, 2.09150958e+00
8.98375269e-03, 1.40017629e+00
1.40090464e-02, 1.38200581e+00
1.90126840e-02, 1.37616253e+00
2.39213742e-02, 1.38416111e+00
2.92398557e-02, 1.37826228e+00
3.45335007e-02, 1.36208487e+00
3.98145728e-02, 1.31549859e+00
4.53267843e-02, 1.25064671e+00
5.09987250e-02, 1.20013177e+00
5.67510463e-02, 1.14601922e+00
6.27212301e-02, 1.08929682e+00
6.88805655e-02, 1.04331374e+00
7.51473755e-02, 9.92509305e-01
8.17408860e-02, 9.28092599e-01
8.85808617e-02, 8.75065744e-01
9.58095565e-02, 8.21261585e-01
1.03474095e-01, 7.61539996e-01
1.11437671e-01, 7.01605082e-01
1.19883545e-01, 6.11250758e-01
1.28830820e-01, 5.71916044e-01
1.33453041e-01, 5.47410846e-01
1.38284922e-01, 5.13847351e-01
1.43300325e-01, 4.81493473e-01
1.48517787e-01, 4.49912161e-01
1.53900087e-01, 4.20399547e-01
1.59510627e-01, 3.92437667e-01
1.65308177e-01, 3.62631887e-01
1.71452716e-01, 3.32261741e-01
1.77844673e-01, 3.03622365e-01
1.84642598e-01, 2.74740010e-01
1.91833571e-01, 2.46535465e-01
1.99560374e-01, 2.16432557e-01
2.08009228e-01, 1.89339280e-01
2.12640896e-01, 1.66783169e-01
2.17587948e-01, 1.41246989e-01
2.23504424e-01, 1.22973464e-01
2.29782760e-01, 1.20346531e-01
2.36106217e-01, 1.32218197e-01
2.41812438e-01, 1.53699264e-01
2.46885076e-01, 1.71305880e-01
2.52209038e-01, 2.02867210e-01
2.56396949e-01, 2.49667361e-01
2.60194629e-01, 2.94765770e-01
2.63566285e-01, 3.42107058e-01
2.66579211e-01, 3.89245987e-01
2.69448578e-01, 4.33204621e-01
2.72137672e-01, 5.02333164e-01
2.74413139e-01, 5.60145497e-01
2.76798993e-01, 5.92690289e-01
2.79091537e-01, 6.47139430e-01
2.81320393e-01, 7.30041146e-01
2.83292055e-01, 8.71238828e-01
2.85241872e-01, 1.14028287e+00
2.86600083e-01, 1.42244887e+00
2.87903816e-01, 1.62997735e+00
2.89631933e-01, 1.97583067e+00
2.91241825e-01, 2.51884675e+00
2.94332266e-01, 2.70126271e+00
2.97370970e-01, 2.74319029e+00


[Name]
Chart Line 2

[Data]
Curve Length on Polyline 1 [ m ],THICKNESS [ mm ]
0.00000000e+00, 2.82278275e+00
3.76929902e-03, 1.86911380e+00
1.15186069e-02, 9.18765903e-01
1.89973712e-02, 9.23417985e-01
2.64274124e-02, 9.23368633e-01
3.38648483e-02, 9.06670570e-01
4.21908945e-02, 8.74888182e-01
5.07372878e-02, 8.43572021e-01
5.94593734e-02, 8.13297153e-01
6.83613941e-02, 7.98595130e-01
7.70838335e-02, 7.84001768e-01
8.59676301e-02, 7.49463022e-01
9.51469094e-02, 7.13411152e-01
1.04580604e-01, 6.95768297e-01
1.13846168e-01, 6.77919567e-01
1.23460516e-01, 6.30677462e-01
1.33694962e-01, 5.82232535e-01
1.44649222e-01, 5.74450850e-01
1.54952958e-01, 5.61387420e-01
1.65888354e-01, 5.16551673e-01
1.77438989e-01, 5.36684632e-01
1.87437400e-01, 5.52839100e-01
1.92342371e-01, 5.27934492e-01
1.97399363e-01, 4.86440718e-01
2.02766076e-01, 4.39709485e-01
2.08595932e-01, 3.83977294e-01
2.15234518e-01, 3.15907270e-01
2.23429084e-01, 2.73037702e-01
2.32029259e-01, 3.22987020e-01
2.38272339e-01, 5.35371006e-01
2.42933139e-01, 6.23692870e-01
2.44944543e-01, 6.46169364e-01
2.46886924e-01, 6.81806564e-01
2.48695135e-01, 7.04779625e-01
2.50490099e-01, 7.25687861e-01
2.52244681e-01, 7.52691925e-01
2.53942668e-01, 7.78202057e-01
2.55611777e-01, 8.02629411e-01
2.57237613e-01, 8.30196083e-01
2.58824140e-01, 8.55750561e-01
2.60378897e-01, 8.77536535e-01
2.61918753e-01, 9.02047157e-01
2.63416231e-01, 9.22244489e-01
2.64893383e-01, 9.43964183e-01
2.66344517e-01, 9.76351917e-01
2.67787278e-01, 1.00063884e+00
2.69198895e-01, 1.02176809e+00
2.70614088e-01, 1.04084337e+00
2.71996975e-01, 1.06130779e+00
2.73390830e-01, 1.08758628e+00
2.74745554e-01, 1.10893226e+00
2.76128113e-01, 1.13194942e+00
2.77480483e-01, 1.16102386e+00
2.78852850e-01, 1.19395089e+00
2.80206770e-01, 1.22234166e+00
2.82971889e-01, 1.26580644e+00
2.84286469e-01, 1.40036893e+00
2.85598844e-01, 1.57824731e+00
2.86743581e-01, 1.80326700e+00
2.87859976e-01, 1.96938431e+00
2.88733453e-01, 2.08385634e+00
2.89563715e-01, 2.17752385e+00
2.91150898e-01, 2.34794784e+00
2.94228643e-01, 2.66299653e+00
2.97292560e-01, 2.68211865e+00


[Name]
Chart Line 3

[Data]
Curve Length on Polyline 1 [ m ],THICKNESS [ mm ]
0.00000000e+00, 2.81846023e+00
3.77537054e-03, 2.15921712e+00
8.58611241e-03, 1.15735245e+00
1.32045876e-02, 7.75584817e-01
1.79428868e-02, 7.40808427e-01
2.25375202e-02, 7.47976601e-01
3.17246094e-02, 7.39708126e-01
4.11320627e-02, 7.20312119e-01
5.16304262e-02, 7.13566065e-01
6.19046651e-02, 7.10245252e-01
7.21455663e-02, 6.99115157e-01
8.23640972e-02, 7.06097960e-01
9.20010358e-02, 7.15949893e-01
1.01541385e-01, 6.79969251e-01
1.11844368e-01, 6.45233095e-01
1.22041211e-01, 6.55499876e-01
1.31620407e-01, 6.54507101e-01
1.41329765e-01, 5.99466145e-01
1.52353436e-01, 5.53850651e-01
1.63558781e-01, 5.80298305e-01
1.73413783e-01, 5.97993791e-01
1.83466509e-01, 5.84514618e-01
1.93236515e-01, 7.51616955e-01
2.00393751e-01, 8.31791222e-01
2.03680128e-01, 8.12034547e-01
2.06900254e-01, 7.81728327e-01
2.10151389e-01, 7.41271913e-01
2.13527218e-01, 6.93654954e-01
2.17002511e-01, 6.42361581e-01
2.20685691e-01, 5.84936440e-01
2.24611908e-01, 5.29315352e-01
2.28839815e-01, 4.92935240e-01
2.33042389e-01, 4.82501686e-01
2.35187069e-01, 4.81396288e-01
2.37333983e-01, 4.82293904e-01
2.39527330e-01, 4.77864146e-01
2.41778851e-01, 4.74440515e-01
2.44071022e-01, 4.72173721e-01
2.46433169e-01, 4.61019576e-01
2.48943806e-01, 4.66990262e-01
2.51353681e-01, 4.99999374e-01
2.53645718e-01, 5.36775351e-01
2.55801380e-01, 5.73423326e-01
2.57884383e-01, 6.11479580e-01
2.59862810e-01, 6.46820188e-01
2.61778027e-01, 6.80753648e-01
2.63602704e-01, 7.09379554e-01
2.65391082e-01, 7.39052892e-01
2.67120957e-01, 7.81757951e-01
2.68830448e-01, 8.11397970e-01
2.70478398e-01, 8.42249453e-01
2.72120535e-01, 8.76910388e-01
2.73700804e-01, 9.06795561e-01
2.75300741e-01, 9.37202454e-01
2.76870936e-01, 9.73096013e-01
2.78402150e-01, 1.00782371e+00
2.79929340e-01, 1.04450428e+00
2.81456470e-01, 1.09255230e+00
2.82958120e-01, 1.16756701e+00
2.84340978e-01, 1.32779920e+00
2.85721481e-01, 1.52186382e+00
2.86911845e-01, 1.76581991e+00
2.88048059e-01, 1.95405889e+00
2.88923025e-01, 2.08004689e+00
2.89752603e-01, 2.17706251e+00
2.91336626e-01, 2.35019088e+00
2.94409722e-01, 2.67015076e+00
2.97474444e-01, 2.68727064e+00


[Name]
Chart Line 4

[Data]
Curve Length on Polyline 1 [ m ],THICKNESS [ mm ]
0.00000000e+00, 2.82366538e+00
3.75423487e-03, 2.05284739e+00
1.28901852e-02, 1.05778396e+00
1.75338555e-02, 7.55966961e-01
2.20296644e-02, 7.62146294e-01
3.10370289e-02, 7.55765140e-01
4.02149856e-02, 7.22381651e-01
5.09054288e-02, 6.72686756e-01
6.22560717e-02, 6.22838140e-01
7.43352994e-02, 6.01420462e-01
8.60853046e-02, 6.28075480e-01
9.67392772e-02, 6.47313476e-01
1.07302815e-01, 6.17083311e-01
1.18564650e-01, 5.90019584e-01
1.29647344e-01, 6.30136430e-01
1.39135703e-01, 6.73996627e-01
1.48374557e-01, 6.33831203e-01
1.58783659e-01, 5.89328170e-01
1.69278964e-01, 6.34847701e-01
1.78094015e-01, 6.78912699e-01
1.86765060e-01, 6.64136708e-01
1.95432469e-01, 7.62157619e-01
2.02443227e-01, 8.09853435e-01
2.05791235e-01, 7.85982788e-01
2.09112749e-01, 7.48981893e-01
2.12509289e-01, 7.03129828e-01
2.16066942e-01, 6.50308847e-01
2.19789237e-01, 5.92295289e-01
2.23815084e-01, 5.36617398e-01
2.28101492e-01, 5.13479650e-01
2.32284084e-01, 5.23817539e-01
2.36343905e-01, 5.23768306e-01
2.38416135e-01, 5.24858475e-01
2.40475595e-01, 5.29345870e-01
2.42566347e-01, 5.25371611e-01
2.44717926e-01, 5.19910693e-01
2.46926129e-01, 5.10663450e-01
2.49255240e-01, 5.18455148e-01
2.51494765e-01, 5.53166509e-01
2.53615558e-01, 5.91066182e-01
2.55655438e-01, 6.29443944e-01
2.57581711e-01, 6.65925920e-01
2.59451985e-01, 6.98490858e-01
2.61250943e-01, 7.26106703e-01
2.62989193e-01, 7.57898390e-01
2.64679015e-01, 8.03802490e-01
2.66329795e-01, 8.35840285e-01
2.67930925e-01, 8.63544106e-01
2.69521743e-01, 8.91949415e-01
2.71066606e-01, 9.21643496e-01
2.72601277e-01, 9.54983652e-01
2.74081081e-01, 9.82353806e-01
2.75587320e-01, 1.01076210e+00
2.77051389e-01, 1.04556596e+00
2.78528333e-01, 1.08134699e+00
2.79983342e-01, 1.11166942e+00
2.81456292e-01, 1.14426184e+00
2.82917827e-01, 1.21101642e+00
2.84292221e-01, 1.35543025e+00
2.85659611e-01, 1.53053260e+00
2.86848217e-01, 1.76778781e+00
2.87979305e-01, 1.94818008e+00
2.88859397e-01, 2.06884241e+00
2.89693266e-01, 2.16680264e+00
2.91281432e-01, 2.34030151e+00
2.94358164e-01, 2.66286802e+00
2.97426105e-01, 2.68030047e+00


[Name]
Chart Line 5

[Data]
Curve Length on Polyline 1 [ m ],THICKNESS [ mm ]
0.00000000e+00, 2.82330966e+00
3.75475199e-03, 2.04049230e+00
1.29750827e-02, 1.04482913e+00
1.76635999e-02, 7.49585450e-01
2.21920069e-02, 7.53886461e-01
3.13007757e-02, 7.45612621e-01
4.06000540e-02, 7.14435279e-01
5.13453782e-02, 6.66627884e-01
6.27835765e-02, 6.15011454e-01
7.50836134e-02, 5.91090143e-01
8.70544314e-02, 6.22025967e-01
9.77140516e-02, 6.50325596e-01
1.08161360e-01, 6.17821455e-01
1.19535118e-01, 5.92730880e-01
1.30413517e-01, 6.43070817e-01
1.39766693e-01, 6.87185645e-01
1.48839757e-01, 6.48713112e-01
1.58880070e-01, 6.02087975e-01
1.69204831e-01, 6.46599889e-01
1.77785560e-01, 6.95082843e-01
1.86228022e-01, 6.77815974e-01
1.94729596e-01, 7.61806667e-01
2.01723516e-01, 8.06916416e-01
2.05063418e-01, 7.85085559e-01
