[Name]
Chart Line 1

[Data]
X [ m ],Y [ m ]
-5.81840798e-02, 7.72686599e-06
-5.81840798e-02, -3.68400500e-03
-5.80707043e-02, -6.28319755e-03
-5.77308685e-02, -8.86590406e-03
-5.71671538e-02, -1.14091476e-02
-5.63838594e-02, -1.38935614e-02
-5.54007404e-02, -1.65946595e-02
-5.44176213e-02, -1.92957558e-02
-5.34345023e-02, -2.19968539e-02
-5.24513833e-02, -2.46979520e-02
-5.14682643e-02, -2.73990482e-02
-5.04851453e-02, -3.01001463e-02
-4.95020263e-02, -3.28012444e-02
-4.85189073e-02, -3.55023406e-02
-4.75357883e-02, -3.82034406e-02
-4.65526693e-02, -4.09045368e-02
-4.55695502e-02, -4.36056331e-02
-4.44754586e-02, -4.63487022e-02
-4.32122871e-02, -4.90282178e-02
-4.17878665e-02, -5.16256094e-02
-4.02075127e-02, -5.41311800e-02
-3.84771228e-02, -5.65355830e-02
-3.66031528e-02, -5.88298477e-02
-3.45925950e-02, -6.10054098e-02
-3.24529558e-02, -6.30541518e-02
-3.01922150e-02, -6.49684295e-02
-2.78188102e-02, -6.67411014e-02
-2.53415983e-02, -6.83655515e-02
-2.27698237e-02, -6.98357150e-02
-2.01130826e-02, -7.11461082e-02
-1.73812862e-02, -7.22918361e-02
-1.45846326e-02, -7.32686371e-02
-1.17335552e-02, -7.40728527e-02
-8.83869361e-03, -7.47014880e-02
-5.91084966e-03, -7.51521960e-02
-2.96094944e-03, -7.54233003e-02
-1.85963168e-18, -7.55137727e-02


[Name]
Chart Line 2

[Data]
X [ m ],Y [ m ]
-5.81840798e-02, 7.72686599e-06
-5.81840798e-02, -3.68400500e-03
-5.80707043e-02, -6.28319755e-03
-5.77308685e-02, -8.86590406e-03
-5.71671538e-02, -1.14091476e-02
-5.63838594e-02, -1.38935614e-02
-5.54007404e-02, -1.65946595e-02
-5.44176213e-02, -1.92957558e-02
-5.34345023e-02, -2.19968539e-02
-5.24513833e-02, -2.46979520e-02
-5.14682643e-02, -2.73990482e-02
-5.04851453e-02, -3.01001463e-02
-4.95020263e-02, -3.28012444e-02
-4.85189073e-02, -3.55023406e-02
-4.75357883e-02, -3.82034406e-02
-4.65526693e-02, -4.09045368e-02
-4.55695502e-02, -4.36056331e-02
-4.44754586e-02, -4.63487022e-02
-4.32122871e-02, -4.90282178e-02
-4.17878665e-02, -5.16256094e-02
-4.02075127e-02, -5.41311800e-02
-3.84771228e-02, -5.65355830e-02
-3.66031528e-02, -5.88298477e-02
-3.45925950e-02, -6.10054098e-02
-3.24529558e-02, -6.30541518e-02
-3.01922150e-02, -6.49684295e-02
-2.78188102e-02, -6.67411014e-02
-2.53415983e-02, -6.83655515e-02
-2.27698237e-02, -6.98357150e-02
-2.01130826e-02, -7.11461082e-02
-1.73812862e-02, -7.22918361e-02
-1.45846326e-02, -7.32686371e-02
-1.17335552e-02, -7.40728527e-02
-8.83869361e-03, -7.47014880e-02
-5.91084966e-03, -7.51521960e-02
-2.96094944e-03, -7.54233003e-02
-1.85963168e-18, -7.55137727e-02


[Name]
Chart Line 3

[Data]
X [ m ],Y [ m ]
-5.81840798e-02, 7.72686599e-06
-5.81840798e-02, -3.68400500e-03
-5.80707043e-02, -6.28319755e-03
-5.77308685e-02, -8.86590406e-03
-5.71671538e-02, -1.14091476e-02
-5.63838594e-02, -1.38935614e-02
-5.54007404e-02, -1.65946595e-02
-5.44176213e-02, -1.92957558e-02
-5.34345023e-02, -2.19968539e-02
-5.24513833e-02, -2.46979520e-02
-5.14682643e-02, -2.73990482e-02
-5.04851453e-02, -3.01001463e-02
-4.95020263e-02, -3.28012444e-02
-4.85189073e-02, -3.55023406e-02
-4.75357883e-02, -3.82034406e-02
-4.65526693e-02, -4.09045368e-02
-4.55695502e-02, -4.36056331e-02
-4.44754586e-02, -4.63487022e-02
-4.32122871e-02, -4.90282178e-02
-4.17878665e-02, -5.16256094e-02
-4.02075127e-02, -5.41311800e-02
-3.84771228e-02, -5.65355830e-02
-3.66031528e-02, -5.88298477e-02
-3.45925950e-02, -6.10054098e-02
-3.24529558e-02, -6.30541518e-02
-3.01922150e-02, -6.49684295e-02
-2.78188102e-02, -6.67411014e-02
-2.53415983e-02, -6.83655515e-02
-2.27698237e-02, -6.98357150e-02
-2.01130826e-02, -7.11461082e-02
-1.73812862e-02, -7.22918361e-02
-1.45846326e-02, -7.32686371e-02
-1.17335552e-02, -7.40728527e-02
-8.83869361e-03, -7.47014880e-02
-5.91084966e-03, -7.51521960e-02
-2.96094944e-03, -7.54233003e-02
-1.85963168e-18, -7.55137727e-02


[Name]
Chart Line 4

[Data]
X [ m ],Y [ m ]
-5.81840798e-02, 7.72686599e-06
-5.81840798e-02, -3.68400500e-03
-5.80707043e-02, -6.28319755e-03
-5.77308685e-02, -8.86590406e-03
-5.71671538e-02, -1.14091476e-02
-5.63838594e-02, -1.38935614e-02
-5.54007404e-02, -1.65946595e-02
-5.44176213e-02, -1.92957558e-02
-5.34345023e-02, -2.19968539e-02
-5.24513833e-02, -2.46979520e-02
-5.14682643e-02, -2.73990482e-02
-5.04851453e-02, -3.01001463e-02
-4.95020263e-02, -3.28012444e-02
-4.85189073e-02, -3.55023406e-02
-4.75357883e-02, -3.82034406e-02
-4.65526693e-02, -4.09045368e-02
-4.55695502e-02, -4.36056331e-02
-4.44754586e-02, -4.63487022e-02
-4.32122871e-02, -4.90282178e-02
-4.17878665e-02, -5.16256094e-02
-4.02075127e-02, -5.41311800e-02
-3.84771228e-02, -5.65355830e-02
-3.66031528e-02, -5.88298477e-02
-3.45925950e-02, -6.10054098e-02
-3.24529558e-02, -6.30541518e-02
-3.01922150e-02, -6.49684295e-02
-2.78188102e-02, -6.67411014e-02
-2.53415983e-02, -6.83655515e-02
-2.27698237e-02, -6.98357150e-02
-2.01130826e-02, -7.11461082e-02
-1.73812862e-02, -7.22918361e-02
-1.45846326e-02, -7.32686371e-02
-1.17335552e-02, -7.40728527e-02
-8.83869361e-03, -7.47014880e-02
-5.91084966e-03, -7.51521960e-02
-2.96094944e-03, -7.54233003e-02
-1.85963168e-18, -7.55137727e-02


[Name]
Chart Line 5

[Data]
X [ m ],Y [ m ]
-5.81840798e-02, 7.72686599e-06
-5.81840798e-02, -3.68400500e-03
-5.80707043e-02, -6.28319755e-03
-5.77308685e-02, -8.86590406e-03
-5.71671538e-02, -1.14091476e-02
-5.63838594e-02, -1.38935614e-02
-5.54007404e-02, -1.65946595e-02
-5.44176213e-02, -1.92957558e-02
-5.34345023e-02, -2.19968539e-02
-5.24513833e-02, -2.46979520e-02
-5.14682643e-02, -2.73990482e-02
-5.04851453e-02, -3.01001463e-02
-4.95020263e-02, -3.28012444e-02
-4.85189073e-02, -3.55023406e-02
-4.75357883e-02, -3.82034406e-02
-4.65526693e-02, -4.09045368e-02
-4.55695502e-02, -4.36056331e-02
-4.44754586e-02, -4.63487022e-02
-4.32122871e-02, -4.90282178e-02
-4.17878665e-02, -5.16256094e-02
-4.02075127e-02, -5.41311800e-02
-3.84771228e-02, -5.65355830e-02
-3.66031528e-02, -5.88298477e-02
-3.45925950e-02, -6.10054098e-02
-3.24529558e-02, -6.30541518e-02
-3.01922150e-02, -6.49684295e-02
-2.78188102e-02, -6.67411014e-02
-2.53415983e-02, -6.83655515e-02
-2.27698237e-02, -6.98357150e-02
-2.01130826e-02, -7.11461082e-02
-1.73812862e-02, -7.22918361e-02
-1.45846326e-02, -7.32686371e-02
-1.17335552e-02, -7.40728527e-02
-8.83869361e-03, -7.47014880e-02
-5.91084966e-03, -7.51521960e-02
-2.96094944e-03, -7.54233003e-02
-1.85963168e-18, -7.55137727e-02


