[Name]
Chart Line 1

[Data]
Curve Length on Polyline 1 [ m ],TEMPERATURE [ C ]
0.00000000e+00, 9.99999924e+01
3.69173195e-03, 9.99999924e+01
6.29339600e-03, 9.99999924e+01
8.89836438e-03, 9.99999924e+01
1.15033332e-02, 9.99999924e+01
1.41083021e-02, 9.99999924e+01
1.69827510e-02, 9.99999924e+01
1.98571980e-02, 9.99999924e+01
2.27316450e-02, 9.99999924e+01
2.56060939e-02, 9.99999924e+01
2.84805410e-02, 9.99999924e+01
3.13549899e-02, 9.99999924e+01
3.42294388e-02, 9.99999924e+01
3.71038839e-02, 9.99999924e+01
3.99783328e-02, 9.99999924e+01
4.28527817e-02, 9.99999924e+01
4.57272269e-02, 9.99999924e+01
4.86804396e-02, 9.99999924e+01
5.16427718e-02, 9.99999924e+01
5.46051040e-02, 9.99999924e+01
5.75674362e-02, 9.99999924e+01
6.05297647e-02, 9.99999924e+01
6.34920970e-02, 9.99999924e+01
6.64544329e-02, 9.99999924e+01
6.94167614e-02, 9.99999924e+01
7.23790899e-02, 9.99999924e+01
7.53414258e-02, 9.99999924e+01
7.83037618e-02, 9.99999924e+01
8.12660903e-02, 9.99999924e+01
8.42284188e-02, 9.99999924e+01
8.71907547e-02, 9.99999924e+01
9.01530832e-02, 9.99999924e+01
9.31154117e-02, 9.99999924e+01
9.60777476e-02, 9.99999924e+01
9.90400761e-02, 9.99999924e+01
1.02002412e-01, 9.99999924e+01
1.04964741e-01, 9.99999924e+01


[Name]
Chart Line 2

[Data]
Curve Length on Polyline 1 [ m ],TEMPERATURE [ C ]
0.00000000e+00, 1.15187401e+02
3.69173195e-03, 1.15157372e+02
6.29339600e-03, 1.15032585e+02
8.89836438e-03, 1.14886620e+02
1.15033332e-02, 1.14859001e+02
1.41083021e-02, 1.14794823e+02
1.69827510e-02, 1.14401787e+02
1.98571980e-02, 1.13991539e+02
2.27316450e-02, 1.13738457e+02
2.56060939e-02, 1.12672264e+02
2.84805410e-02, 1.11520134e+02
3.13549899e-02, 1.11323601e+02
3.42294388e-02, 1.11091118e+02
3.71038839e-02, 1.09786278e+02
3.99783328e-02, 1.08451134e+02
4.28527817e-02, 1.08214806e+02
4.57272269e-02, 1.07838585e+02
4.86804396e-02, 1.05631859e+02
5.16427718e-02, 1.03286339e+02
5.46051040e-02, 1.02890587e+02
5.75674362e-02, 9.88879929e+01
6.05297647e-02, 9.48521652e+01
6.34920970e-02, 9.42072678e+01
6.64544329e-02, 9.42072678e+01
6.94167614e-02, 9.42072372e+01
7.23790899e-02, 8.78978195e+01
7.53414258e-02, 8.00000229e+01
7.83037618e-02, 7.99999924e+01
8.12660903e-02, 7.99999924e+01
8.42284188e-02, 7.99999924e+01
8.71907547e-02, 7.99999924e+01
9.01530832e-02, 7.99999924e+01
9.31154117e-02, 7.99999924e+01
9.60777476e-02, 7.99999924e+01
9.90400761e-02, 7.99999924e+01
