[Name]
Chart Line 1

[Data]
Curve Length on Polyline 1 [ m ],THICKNESS [ mm ]
0.00000000e+00, 2.88000011e+00
3.69173195e-03, 2.88000011e+00
6.29339600e-03, 2.88000011e+00
8.89836438e-03, 2.88000011e+00
1.15033332e-02, 2.88000011e+00
1.41083021e-02, 2.88000011e+00
1.69827510e-02, 2.88000011e+00
1.98571980e-02, 2.88000011e+00
2.27316450e-02, 2.88000011e+00
2.56060939e-02, 2.88000011e+00
2.84805410e-02, 2.88000011e+00
3.13549899e-02, 2.88000011e+00
3.42294388e-02, 2.88000011e+00
3.71038839e-02, 2.88000011e+00
3.99783328e-02, 2.88000011e+00
4.28527817e-02, 2.88000011e+00
4.57272269e-02, 2.88000011e+00
4.86804396e-02, 2.88000011e+00
5.16427718e-02, 2.88000011e+00
5.46051040e-02, 2.88000011e+00
5.75674362e-02, 2.88000011e+00
6.05297647e-02, 2.88000011e+00
6.34920970e-02, 2.88000011e+00
6.64544329e-02, 2.88000011e+00
6.94167614e-02, 2.88000011e+00
7.23790899e-02, 2.88000011e+00
7.53414258e-02, 2.88000011e+00
7.83037618e-02, 2.88000011e+00
8.12660903e-02, 2.88000011e+00
8.42284188e-02, 2.88000011e+00
8.71907547e-02, 2.88000011e+00
9.01530832e-02, 2.88000011e+00
9.31154117e-02, 2.88000011e+00
9.60777476e-02, 2.88000011e+00
9.90400761e-02, 2.88000011e+00
1.02002412e-01, 2.88000011e+00
1.04964741e-01, 2.88000011e+00


[Name]
Chart Line 2

[Data]
Curve Length on Polyline 1 [ m ],THICKNESS [ mm ]
0.00000000e+00, 2.88000011e+00
3.69173195e-03, 2.88000011e+00
6.29339600e-03, 2.88000011e+00
8.89836438e-03, 2.88000011e+00
1.15033332e-02, 2.88000011e+00
1.41083021e-02, 2.88000011e+00
1.69827510e-02, 2.88000011e+00
1.98571980e-02, 2.88000011e+00
2.27316450e-02, 2.88000011e+00
2.56060939e-02, 2.88000011e+00
2.84805410e-02, 2.88000011e+00
3.13549899e-02, 2.88000011e+00
3.42294388e-02, 2.88000011e+00
3.71038839e-02, 2.88000011e+00
3.99783328e-02, 2.88000011e+00
4.28527817e-02, 2.88000011e+00
4.57272269e-02, 2.88000011e+00
4.86804396e-02, 2.88000011e+00
5.16427718e-02, 2.88000011e+00
5.46051040e-02, 2.88000011e+00
5.75674362e-02, 2.88000011e+00
6.05297647e-02, 2.88000011e+00
6.34920970e-02, 2.88000011e+00
6.64544329e-02, 2.88000011e+00
6.94167614e-02, 2.88000011e+00
7.23790899e-02, 2.88000011e+00
7.53414258e-02, 2.88000011e+00
7.83037618e-02, 2.88000011e+00
8.12660903e-02, 2.88000011e+00
8.42284188e-02, 2.88000011e+00
8.71907547e-02, 2.88000011e+00
9.01530832e-02, 2.88000011e+00
9.31154117e-02, 2.88000011e+00
9.60777476e-02, 2.88000011e+00
9.90400761e-02, 2.88000011e+00
1.02002412e-01, 2.88000011e+00
1.04964741e-01, 2.88000011e+00


[Name]
Chart Line 3

[Data]
Curve Length on Polyline 1 [ m ],THICKNESS [ mm ]
0.00000000e+00, 2.88000011e+00
3.69173195e-03, 2.88000011e+00
6.29339600e-03, 2.88000011e+00
8.89836438e-03, 2.88000011e+00
1.15033332e-02, 2.88000011e+00
1.41083021e-02, 2.88000011e+00
1.69827510e-02, 2.88000011e+00
1.98571980e-02, 2.88000011e+00
2.27316450e-02, 2.88000011e+00
2.56060939e-02, 2.88000011e+00
2.84805410e-02, 2.88000011e+00
3.13549899e-02, 2.88000011e+00
3.42294388e-02, 2.88000011e+00
3.71038839e-02, 2.88000011e+00
3.99783328e-02, 2.88000011e+00
4.28527817e-02, 2.88000011e+00
4.57272269e-02, 2.88000011e+00
4.86804396e-02, 2.88000011e+00
5.16427718e-02, 2.88000011e+00
5.46051040e-02, 2.88000011e+00
5.75674362e-02, 2.88000011e+00
6.05297647e-02, 2.88000011e+00
6.34920970e-02, 2.88000011e+00
6.64544329e-02, 2.88000011e+00
6.94167614e-02, 2.88000011e+00
7.23790899e-02, 2.88000011e+00
7.53414258e-02, 2.88000011e+00
7.83037618e-02, 2.88000011e+00
8.12660903e-02, 2.88000011e+00
8.42284188e-02, 2.88000011e+00
8.71907547e-02, 2.88000011e+00
9.01530832e-02, 2.88000011e+00
9.31154117e-02, 2.88000011e+00
9.60777476e-02, 2.88000011e+00
9.90400761e-02, 2.88000011e+00
1.02002412e-01, 2.88000011e+00
1.04964741e-01, 2.88000011e+00


[Name]
Chart Line 4

[Data]
Curve Length on Polyline 1 [ m ],THICKNESS [ mm ]
0.00000000e+00, 2.88000011e+00
3.69173195e-03, 2.88000011e+00
6.29339600e-03, 2.88000011e+00
8.89836438e-03, 2.88000011e+00
1.15033332e-02, 2.88000011e+00
1.41083021e-02, 2.88000011e+00
1.69827510e-02, 2.88000011e+00
1.98571980e-02, 2.88000011e+00
2.27316450e-02, 2.88000011e+00
2.56060939e-02, 2.88000011e+00
2.84805410e-02, 2.88000011e+00
3.13549899e-02, 2.88000011e+00
3.42294388e-02, 2.88000011e+00
3.71038839e-02, 2.88000011e+00
3.99783328e-02, 2.88000011e+00
4.28527817e-02, 2.88000011e+00
4.57272269e-02, 2.88000011e+00
4.86804396e-02, 2.88000011e+00
5.16427718e-02, 2.88000011e+00
5.46051040e-02, 2.88000011e+00
5.75674362e-02, 2.88000011e+00
6.05297647e-02, 2.88000011e+00
6.34920970e-02, 2.88000011e+00
6.64544329e-02, 2.88000011e+00
6.94167614e-02, 2.88000011e+00
7.23790899e-02, 2.88000011e+00
7.53414258e-02, 2.88000011e+00
7.83037618e-02, 2.88000011e+00
8.12660903e-02, 2.88000011e+00
8.42284188e-02, 2.88000011e+00
8.71907547e-02, 2.88000011e+00
9.01530832e-02, 2.88000011e+00
9.31154117e-02, 2.88000011e+00
9.60777476e-02, 2.88000011e+00
9.90400761e-02, 2.88000011e+00
1.02002412e-01, 2.88000011e+00
1.04964741e-01, 2.88000011e+00


[Name]
Chart Line 5

[Data]
Curve Length on Polyline 1 [ m ],THICKNESS [ mm ]
0.00000000e+00, 2.88000011e+00
3.69173195e-03, 2.88000011e+00
6.29339600e-03, 2.88000011e+00
8.89836438e-03, 2.88000011e+00
1.15033332e-02, 2.88000011e+00
1.41083021e-02, 2.88000011e+00
1.69827510e-02, 2.88000011e+00
1.98571980e-02, 2.88000011e+00
2.27316450e-02, 2.88000011e+00
2.56060939e-02, 2.88000011e+00
2.84805410e-02, 2.88000011e+00
3.13549899e-02, 2.88000011e+00
3.42294388e-02, 2.88000011e+00
3.71038839e-02, 2.88000011e+00
3.99783328e-02, 2.88000011e+00
4.28527817e-02, 2.88000011e+00
4.57272269e-02, 2.88000011e+00
4.86804396e-02, 2.88000011e+00
5.16427718e-02, 2.88000011e+00
5.46051040e-02, 2.88000011e+00
5.75674362e-02, 2.88000011e+00
6.05297647e-02, 2.88000011e+00
6.34920970e-02, 2.88000011e+00
6.64544329e-02, 2.88000011e+00
6.94167614e-02, 2.88000011e+00
7.23790899e-02, 2.88000011e+00
7.53414258e-02, 2.88000011e+00
7.83037618e-02, 2.88000011e+00
8.12660903e-02, 2.88000011e+00
8.42284188e-02, 2.88000011e+00
8.71907547e-02, 2.88000011e+00
9.01530832e-02, 2.88000011e+00
9.31154117e-02, 2.88000011e+00
9.60777476e-02, 2.88000011e+00
9.90400761e-02, 2.88000011e+00
1.02002412e-01, 2.88000011e+00
1.04964741e-01, 2.88000011e+00


